timestamp,raw_gesture,stable_gesture,command,throttle,vx,vy,vz,yaw_rate,altitude,fps
1776435879.064,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,61.3
1776435879.078,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,61.4
1776435879.094,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,61.4
1776435879.111,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,61.3
1776435879.128,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,61.2
1776435879.144,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,61.1
1776435879.160,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,61.0
1776435879.177,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,60.8
1776435879.192,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,61.0
1776435879.207,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,60.8
1776435879.223,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,60.8
1776435879.238,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,60.8
1776435879.254,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,60.9
1776435879.270,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,60.8
1776435879.285,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,60.6
1776435879.301,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,60.6
1776435879.318,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,60.4
1776435879.333,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,60.5
1776435879.349,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,60.4
1776435879.365,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,60.5
1776435879.381,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.6
1776435879.396,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.2
1776435879.411,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.2
1776435879.428,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.2
1776435879.444,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.2
1776435879.460,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.1
1776435879.475,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.1
1776435879.491,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.2
1776435879.516,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.4
1776435879.533,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.3
1776435879.548,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.4
1776435879.563,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.4
1776435879.579,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.4
1776435879.595,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.5
1776435879.610,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.8
1776435879.625,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.8
1776435879.641,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.9
1776435879.656,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.0
1776435879.672,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.9
1776435879.689,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.8
1776435879.705,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.8
1776435879.720,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.8
1776435879.735,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.9
1776435879.751,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.8
1776435879.766,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.9
1776435879.782,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.9
1776435879.798,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.0
1776435879.815,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.8
1776435879.830,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.9
1776435879.847,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.8
1776435879.862,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.9
1776435879.877,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.9
1776435879.894,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.6
1776435879.909,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.8
1776435879.925,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.8
1776435879.940,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.9
1776435879.956,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.9
1776435879.972,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.9
1776435879.986,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.9
1776435880.002,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.9
1776435880.018,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.9
1776435880.035,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.7
1776435880.051,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.7
1776435880.066,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.7
1776435880.082,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.6
1776435880.098,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.6
1776435880.114,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.5
1776435880.130,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.5
1776435880.146,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.5
1776435880.160,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.7
1776435880.176,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.8
1776435880.192,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.6
1776435880.207,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.5
1776435880.223,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.5
1776435880.239,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.5
1776435880.255,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.5
1776435880.270,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.6
1776435880.286,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,63.8
