timestamp,raw_gesture,stable_gesture,stable_ratio,current_intent,candidate_intent,fps
2026-04-24 18:18:21,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.6
2026-04-24 18:18:21,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.7
2026-04-24 18:18:21,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,13.2
2026-04-24 18:18:21,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,12.5
2026-04-24 18:18:21,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,12.7
2026-04-24 18:18:22,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,12.2
2026-04-24 18:18:22,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,12.0
2026-04-24 18:18:22,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,12.0
2026-04-24 18:18:22,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.3
2026-04-24 18:18:22,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.1
2026-04-24 18:18:22,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,10.4
2026-04-24 18:18:22,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,10.5
2026-04-24 18:18:22,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,10.6
2026-04-24 18:18:23,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,10.6
2026-04-24 18:18:23,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,10.7
2026-04-24 18:18:23,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,10.0
2026-04-24 18:18:23,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,10.1
2026-04-24 18:18:23,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,10.3
2026-04-24 18:18:23,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,10.3
2026-04-24 18:18:23,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,10.5
2026-04-24 18:18:24,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,10.0
